,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Market Sizes | Historical | Period growth,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2020 - 2025 %,2020 - 2025 CAGR %,2020 - 2025 Absolute
Cambodia,Travel Modes - modelled,Retail Value RSP,KHR billion,Current Prices,194.4,24.1,1096.0
China,Travel Modes,Retail Value RSP,CNY million,Current Prices,67.9,10.9,622628.1
"Hong Kong, China",Travel Modes,Retail Value RSP,HKD million,Current Prices,387.1,37.3,61962.3
India,Travel Modes,Retail Value RSP,INR million,Current Prices,213.9,25.7,2683249.5
Indonesia,Travel Modes,Retail Value RSP,IDR million,Current Prices,146.2,19.7,158284852.2
Japan,Travel Modes,Retail Value RSP,JPY million,Current Prices,179.7,22.8,3922693.3
Kazakhstan,Travel Modes - modelled,Retail Value RSP,KZT billion,Current Prices,153.6,20.5,121.7
Laos,Travel Modes - modelled,Retail Value RSP,LAK billion,Current Prices,554.9,45.6,2519.0
Malaysia,Travel Modes,Retail Value RSP,MYR million,Current Prices,133.5,18.5,16915.9
Myanmar,Travel Modes - modelled,Retail Value RSP,MMK billion,Current Prices,1045.9,62.9,1066.8
Philippines,Travel Modes,Retail Value RSP,PHP million,Current Prices,237.4,27.5,297862.6
Singapore,Travel Modes,Retail Value RSP,SGD million,Current Prices,269.9,29.9,7826.0
South Korea,Travel Modes,Retail Value RSP,KRW million,Current Prices,317.1,33.1,38028813.6
Sri Lanka,Travel Modes - modelled,Retail Value RSP,LKR billion,Current Prices,146.5,19.8,18.1
Taiwan,Travel Modes,Retail Value RSP,TWD million,Current Prices,188.0,23.6,208796.3
Thailand,Travel Modes,Retail Value RSP,THB million,Current Prices,453.9,40.8,394462.3
Vietnam,Travel Modes,Retail Value RSP,VND billion,Current Prices,236.1,27.4,148481.8
Australia,Travel Modes,Retail Value RSP,AUD million,Current Prices,258.4,29.1,37347.2
New Zealand,Travel Modes,Retail Value RSP,NZD million,Current Prices,157.6,20.8,5299.3
Bulgaria,Travel Modes,Retail Value RSP,BGN million,Current Prices,215.8,25.9,1158.4
Croatia,Travel Modes,Retail Value RSP,EUR million,Current Prices,186.6,23.4,762.4
Czech Republic,Travel Modes,Retail Value RSP,CZK million,Current Prices,185.8,23.4,52156.1
Estonia,Travel Modes - modelled,Retail Value RSP,EUR million,Current Prices,391.2,37.5,77.1
Georgia,Travel Modes - modelled,Retail Value RSP,GEL million,Current Prices,350.1,35.1,469.1
Hungary,Travel Modes,Retail Value RSP,HUF million,Current Prices,397.7,37.8,864558.8
Latvia,Travel Modes - modelled,Retail Value RSP,EUR million,Current Prices,312.1,32.7,245.7
Lithuania,Travel Modes - modelled,Retail Value RSP,EUR million,Current Prices,436.3,39.9,322.5
Poland,Travel Modes,Retail Value RSP,PLN million,Current Prices,268.1,29.8,26694.5
Romania,Travel Modes,Retail Value RSP,RON million,Current Prices,418.6,39.0,14774.0
Russia,Travel Modes,Retail Value RSP,RUB million,Current Prices,8.3,1.6,59409.8
Slovakia,Travel Modes,Retail Value RSP,EUR million,Current Prices,253.7,28.7,477.6
Slovenia,Travel Modes - modelled,Retail Value RSP,EUR million,Current Prices,540.8,45.0,113.4
Ukraine,Travel Modes,Retail Value RSP,UAH million,Current Prices,-90.4,-37.4,-39392.8
Argentina,Travel Modes,Retail Value RSP,ARS million,Current Prices,9107.6,147.1,13419370.8
Bolivia,Travel Modes - modelled,Retail Value RSP,BOB million,Current Prices,194.9,24.2,2299.7
Brazil,Travel Modes,Retail Value RSP,BRL million,Current Prices,273.3,30.1,78218.9
Chile,Travel Modes,Retail Value RSP,CLP million,Current Prices,260.4,29.2,2959432.5
Colombia,Travel Modes,Retail Value RSP,COP billion,Current Prices,369.1,36.2,38782.5
Costa Rica,Travel Modes - modelled,Retail Value RSP,CRC billion,Current Prices,456.6,41.0,297.0
Dominican Republic,Travel Modes - modelled,Retail Value RSP,DOP million,Current Prices,615.8,48.2,62168.6
Ecuador,Travel Modes,Retail Value RSP,USD million,Current Prices,285.7,31.0,1040.6
Guatemala,Travel Modes - modelled,Retail Value RSP,GTQ million,Current Prices,368.0,36.2,1741.3
Mexico,Travel Modes,Retail Value RSP,MXN million,Current Prices,218.9,26.1,366381.0
Panama,Travel Modes - modelled,Retail Value RSP,USD million,Current Prices,289.7,31.3,169.7
Peru,Travel Modes,Retail Value RSP,PEN million,Current Prices,286.4,31.0,18231.5
Uruguay,Travel Modes - modelled,Retail Value RSP,UYU million,Current Prices,312.8,32.8,13907.4
Egypt,Travel Modes,Retail Value RSP,EGP million,Current Prices,55.6,9.2,30110.7
Israel,Travel Modes,Retail Value RSP,ILS million,Current Prices,340.5,34.5,22407.9
Jordan,Travel Modes - modelled,Retail Value RSP,JOD million,Current Prices,184.1,23.2,339.7
Kenya,Travel Modes,Retail Value RSP,KES billion,Current Prices,232.3,27.1,138.7
Lebanon,Travel Modes - modelled,Retail Value RSP,LBP billion,Current Prices,1673.0,77.7,7260.8
Morocco,Travel Modes,Retail Value RSP,MAD million,Current Prices,126.8,17.8,21912.2
Nigeria,Travel Modes - modelled,Retail Value RSP,NGN billion,Current Prices,125.0,17.6,361.4
Oman,Travel Modes - modelled,Retail Value RSP,OMR million,Current Prices,412.7,38.7,349.4
Qatar,Travel Modes - modelled,Retail Value RSP,QAR million,Current Prices,192.0,23.9,2671.4
Saudi Arabia,Travel Modes,Retail Value RSP,SAR million,Current Prices,488.2,42.5,123002.7
South Africa,Travel Modes,Retail Value RSP,ZAR million,Current Prices,226.5,26.7,70408.1
Tanzania,Travel Modes - modelled,Retail Value RSP,TZS billion,Current Prices,54.5,9.1,360.7
Tunisia,Travel Modes - modelled,Retail Value RSP,TND million,Current Prices,276.0,30.3,1124.5
United Arab Emirates,Travel Modes,Retail Value RSP,AED million,Current Prices,352.8,35.3,29090.7
Canada,Travel Modes,Retail Value RSP,CAD million,Current Prices,353.3,35.3,32652.6
USA,Travel Modes,Retail Value RSP,USD million,Current Prices,220.5,26.2,154787.8
Austria,Travel Modes,Retail Value RSP,EUR million,Current Prices,288.2,31.2,4023.2
Belgium,Travel Modes,Retail Value RSP,EUR million,Current Prices,264.3,29.5,6123.7
Denmark,Travel Modes,Retail Value RSP,DKK million,Current Prices,278.3,30.5,32184.1
Finland,Travel Modes,Retail Value RSP,EUR million,Current Prices,298.4,31.8,2353.4
France,Travel Modes,Retail Value RSP,EUR million,Current Prices,205.7,25.0,22593.6
Germany,Travel Modes,Retail Value RSP,EUR million,Current Prices,162.7,21.3,29552.2
Greece,Travel Modes,Retail Value RSP,EUR million,Current Prices,423.7,39.3,5118.8
Ireland,Travel Modes,Retail Value RSP,EUR million,Current Prices,323.3,33.5,3022.1
Italy,Travel Modes,Retail Value RSP,EUR million,Current Prices,266.5,29.7,14467.2
Netherlands,Travel Modes,Retail Value RSP,EUR million,Current Prices,319.3,33.2,11603.3
Norway,Travel Modes,Retail Value RSP,NOK million,Current Prices,159.9,21.0,38528.3
Portugal,Travel Modes,Retail Value RSP,EUR million,Current Prices,318.5,33.1,2711.9
Spain,Travel Modes,Retail Value RSP,EUR million,Current Prices,246.3,28.2,14111.6
Sweden,Travel Modes,Retail Value RSP,SEK million,Current Prices,309.1,32.5,43535.2
Switzerland,Travel Modes,Retail Value RSP,CHF million,Current Prices,136.4,18.8,4726.9
Turkey,Travel Modes,Retail Value RSP,TRY million,Current Prices,3010.3,98.9,1332281.8
United Kingdom,Travel Modes,Retail Value RSP,GBP million,Current Prices,425.0,39.3,34299.8
,,,,,,,
Research Sources:,,,,,,,
Travel: Euromonitor from trade sources/national statistics,,,,,,,
,,,,,,,
Date Exported (GMT): 2/4/2026 12:20:25 PM,,,,,,,
Â© Euromonitor International,,,,,,,
